# Longest matching source term wins. Keep one source<TAB>target pair per line.
计算机化多阶段测验	computerized multistage testing
计算机化自适应测验	computerized adaptive testing
多维计算机化自适应测验	multidimensional computerized adaptive testing
认知诊断计算机化自适应测验	cognitive diagnostic computerized adaptive testing
自我适应测验	self-adapted testing
项目反应理论	Item Response Theory
经典测验理论	Classical Test Theory
认知诊断模型	cognitive diagnosis model
受限潜在类别模型	restricted latent class model
多维项目反应理论	multidimensional Item Response Theory
项目特征曲线	item characteristic curve
题目特征曲线	item characteristic curve
项目反应函数	item response function
题目反应函数	item response function
项目信息函数	item information function
题目信息函数	item information function
边际最大似然估计	marginal maximum likelihood estimation
联合最大似然估计	joint maximum likelihood estimation
最大似然估计	maximum likelihood estimation
期望后验估计	expected a posteriori estimation
最大后验估计	maximum a posteriori estimation
马尔可夫链蒙特卡洛	Markov chain Monte Carlo
差异项目功能	differential item functioning
测量不变性	measurement invariance
局部独立性	local independence
单维性	unidimensionality
多维性	multidimensionality
可识别性	identifiability
严格可识别性	strict identifiability
一般可识别性	generic identifiability
模型拟合	model fit
拟合优度	goodness of fit
潜在特质	latent trait
潜在变量	latent variable
潜在类别	latent class
潜在回归	latent regression
能力估计	ability estimate
能力参数	ability parameter
项目参数	item parameters
题目参数	item parameters
区分度参数	discrimination parameter
难度参数	difficulty parameter
猜测参数	guessing parameter
滑失参数	slip parameter
项目难度	item difficulty
题目难度	item difficulty
项目区分度	item discrimination
题目区分度	item discrimination
项目信息量	item information
题目信息量	item information
测验信息量	test information
项目曝光率	item exposure rate
题目曝光率	item exposure rate
曝光控制	exposure control
题库	item bank
受测者	examinee
被试	participant
考生	examinee
项目	item
题目	item
测验长度	test length
固定长度	fixed length
可变长度	variable length
停止规则	stopping rule
标准误	standard error
均方误差	mean squared error
均方根误差	root mean squared error
后验均值	posterior mean
后验方差	posterior variance
后验分布	posterior distribution
先验均值	prior mean
先验方差	prior variance
先验分布	prior distribution
经验先验	empirical prior
信息先验	informative prior
似然函数	likelihood function
边际似然	marginal likelihood
条件分布	conditional distribution
联合分布	joint distribution
概率分布	probability distribution
置信区间	confidence interval
可信区间	credible interval
覆盖率	coverage rate
偏差	bias
方差	variance
信度	reliability
效度	validity
内容效度	content validity
收敛效度	convergent validity
区分效度	discriminant validity
结构效度	construct validity
二参数逻辑模型	two-parameter logistic model
三参数逻辑模型	three-parameter logistic model
一参数逻辑模型	one-parameter logistic model
二参数正态卵形模型	two-parameter normal-ogive model
分级反应模型	graded response model
部分计分模型	partial credit model
广义部分计分模型	generalized partial credit model
评分量表模型	rating scale model
名义反应模型	nominal response model
多分类项目	polytomous item
二分项目	dichotomous item
充分统计量	sufficient statistic
特定客观性	specific objectivity
链接设计	linking design
等值	equating
量尺	measurement scale
原始分	raw score
总分	total score
因子载荷	factor loading
探索性因子分析	exploratory factor analysis
验证性因子分析	confirmatory factor analysis
双因子模型	bifactor model
属性掌握模式	attribute mastery profile
属性模式	attribute profile
属性掌握	attribute mastery
属性层级	attribute hierarchy
理想反应	ideal response
反应概率	response probability
作答反应	item response
作答模式	response pattern
反应矩阵	response matrix
作答数据	response data
反应时	response time
序贯模型	sequential model
转移概率	transition probability
隐马尔可夫模型	hidden Markov model
增强学习	reinforcement learning
深度增强学习	deep reinforcement learning
深度学习	deep learning
机器学习	machine learning
监督学习	supervised learning
无监督学习	unsupervised learning
半监督学习	semi-supervised learning
迁移学习	transfer learning
领域适应	domain adaptation
自然语言处理	natural language processing
大型语言模型	large language model
语言模型	language model
生成式人工智能	generative artificial intelligence
检索增强生成	retrieval-augmented generation
上下文学习	in-context learning
少样本学习	few-shot learning
零样本学习	zero-shot learning
预训练	pretraining
微调	fine-tuning
指令微调	instruction tuning
分词器	tokenizer
分词	tokenization
词表	vocabulary
词嵌入	word embedding
